track,artist
LA DI DA,Everglow
FANCY,TWICE
SHUT DOWN,CLASS:y
KILLER,FAINIT
SPIT IT OUT,Solar
Autopilot,PURPLE KISS
O.O,NMIXX
I CAN'T STOP ME,TWICE
Sweet Juice,PURPLE KISS
Lovesick Girls,BLACKPINK
Zombie,PURPLE KISS
Athletic Girl,H1-KEY
Attention,NewJeans
Pirate,Everglow
Nerdy,PURPLE KISS
Game Over,Ferry Blue
Dingga,MAMAMOO
Killer,Key
Starry Night,MAMAMOO
LIKEY,TWICE
HIP,MAMAMOO
GOT THE THRILLS,TWICE
SLAY,Everglow
BAD GIRLFRIEND!!,소공녀 프로젝트
BAZOOKA!,GWSN
Hype Boy,NewJeans
LOVE DIVE,IVE
WANNABE,ITZY
The Feels,TWICE
Bubble,STAYC
Feel Special,TWICE
Psycho,Red Velvet
SO BAD,STAYC
Back to the City,Kep1er
LEFT RIGHT,XG
POP!,NAYEON
Zero,NewJeans
Starlit,Uiu
FIRST,Everglow
After LIKE,IVE
GHOST,DreamNote
Love Talk,WayV
Perfect Night,LE SSERAFIM
Queen of Hearts,TWICE
Pom Pom,Rocking Doll
Girls’ Capitalism,tripleS
DICE,NMIXX
ANTIFRAGILE,LE SSERAFIM
LOCO,ITZY
Gangnam Style (강남스타일),Psy
THIS IS LOVE,Queenz Eye
Die for You,EL7Z UP
No Celestial,LE SSERAFIM
Do not touch,MISAMO
Mermaid,Yeeun
Another Life,Key
LIAR,Rocking doll Roa
Criminal,TAEMIN
ASAP,NewJeans
New Jeans,NewJeans
MY WAY,Trendz
Ditto,NewJeans
Hush,miss A
EYE TO EYE,Limelight
memeM,PURPLE KISS
Super Shy,NewJeans
SHOOTING STAR,XG
Classic,IVE
